CrsCode,StationName,Easting,Northing,RevisionNumber,Grid Reference,Latitude,Longitude
TRI,Tring Rail Station,495087,212241,2,SP 95087 12241,51.800739,-0.62243938
THC,Thurnscoe Rail Station,445900,405600,1,SE 45900 05600,53.545041,-1.3087837
TRN,Troon Rail Station,232560,630880,1,NS 32560 30880,55.542810,-4.6552994
TRU,Truro Rail Station,181667,44924,3,SW 81667 44924,50.263839,-5.0648122
TRO,Trowbridge Rail Station,385160,157880,4,ST 85160 57880,51.319829,-2.2143344
TEA,Tees-side Airport Rail Station,437300,513800,1,NZ 37300 13800,54.518131,-1.4253114
TOM,Tottenham Hale Rail Station,534500,189500,1,TQ 34500 89500,51.588308,-0.059929183
TUL,Tulloch Rail Station,235510,780240,1,NN 35510 80240,56.884277,-4.7013210
TUH,Tulse Hill Rail Station,531800,172910,2,TQ 31800 72910,51.439859,-0.10507676
TBW,Tunbridge Wells Rail Station,558428,139207,3,TQ 58428 39207,51.130232,0.26281031
TUR,Turkey Street Rail Station,535130,198900,1,TQ 35130 98900,51.672626,-0.047216635
TUT,Tutbury & Hatton Rail Station,421490,329675,2,SK 21490 29675,52.864134,-1.6822349
TWI,Twickenham Rail Station,516115,173660,2,TQ 16115 73660,51.450029,-0.33039381
TWY,Twyford Rail Station,479042,175787,1,SU 79042 75787,51.475532,-0.86329259
TYC,Ty Croes Rail Station,234882,372360,1,SH 34882 72360,53.222556,-4.4747327
TGS,Ty Glas Rail Station,317080,180970,1,ST 17080 80970,51.521537,-3.1965341
TYG,Tygwyn Rail Station,260260,334950,1,SH 60260 34950,52.893784,-4.0786546
TYL,Tyndrum Lower Rail Station,232700,730100,1,NN 32700 30100,56.433341,-4.7148209
UTY,Upper Tyndrum Rail Station,233390,730220,1,NN 33390 30220,56.434662,-4.7037213
TYS,Tyseley Rail Station,411030,284030,1,SP 11030 84030,52.454115,-1.8391160
TYW,Tywyn Rail Station,258260,300700,1,SH 58260 00700,52.585574,-4.0935591
UCK,Uckfield Rail Station,547295,120905,4,TQ 47295 20905,50.968737,0.096380889
UDD,Uddingston Rail Station,269370,660890,1,NS 69370 60890,55.823526,-4.0866976
UPH,Upper Halliford Rail Station,509219,169395,1,TQ 09219 69395,51.413066,-0.43090578
ULC,Ulceby Rail Station,512490,414970,2,TA 12490 14970,53.619199,-0.30082676
ULL,Ulleskelf Rail Station,451803,439995,2,SE 51803 39995,53.853610,-1.2139721
ULV,Ulverston Rail Station,328460,477870,3,SD 28460 77870,54.191583,-3.0979151
UMB,Umberleigh Rail Station,260950,123800,1,SS 60950 23800,50.996746,-3.9828869
UNI,University Rail Station,404400,283700,1,SP 04400 83700,52.451240,-1.9366837
UHA,Uphall Rail Station,306220,670570,1,NT 06220 70570,55.919041,-3.5021194
UPL,Upholland Rail Station,350950,403780,1,SD 50950 03780,53.528378,-2.7414049
UPM,Upminster Rail Station,556130,186870,2,TQ 56130 86870,51.559106,0.25088392
UPM,Upminster Rail Station,556130,186860,2,TQ 56130 86860,51.559017,0.25087949
UHL,Upper Holloway Rail Station,529750,186630,2,TQ 29750 86630,51.563630,-0.12951308
UPT,Upton Rail Station,327990,388286,2,SJ 27990 88286,53.386486,-3.0841525
UPW,Upwey Rail Station,367140,83280,1,SY 67140 83280,50.648270,-2.4661381
URM,Urmston Rail Station,376600,394670,1,SJ 76600 94670,53.448269,-2.3537965
UTT,Uttoxeter Rail Station,409700,333270,2,SK 09700 33270,52.896789,-1.8572546
UWL,Upper Warlingham Rail Station,534068,158353,1,TQ 34068 58353,51.308510,-0.077951743
VAL,Valley Rail Station,229200,379100,1,SH 29200 79100,53.281283,-4.5633687
VXH,Vauxhall Rail Station,530430,178030,1,TQ 30430 78030,51.486188,-0.12288955
VXH,Vauxhall Rail Station,530431,178030,1,TQ 30431 78030,51.486188,-0.12287515
VIC,London Victoria Rail Station,528900,179000,1,TQ 28900 79000,51.495256,-0.14455880
VIC,London Victoria Rail Station,528901,179000,2,TQ 28901 79000,51.495256,-0.14454441
VIR,Virginia Water Rail Station,500115,167955,2,TQ 00115 67955,51.401800,-0.56217383
WDO,Waddon Rail Station,531155,164830,1,TQ 31155 64830,51.367396,-0.11733591
WAD,Wadhurst Rail Station,562150,133004,1,TQ 62150 33004,51.073459,0.31317351
WFL,Wainfleet Rail Station,549700,358770,1,TF 49700 58770,53.105125,0.23472728
WLG,Wallasey Grove Road Rail Station,329020,392890,1,SJ 29020 92890,53.428002,-3.0697070
WLV,Wallasey Village Rail Station,329050,392320,1,SJ 29050 92320,53.422883,-3.0691270
WSA,West Allerton Rail Station,339750,386190,1,SJ 39750 86190,53.369123,-2.9069642
WLC,Waltham Cross Rail Station,536521,200321,1,TL 36521 00321,51.685059,-0.026558395
WKD,Walkden Rail Station,373820,402640,1,SD 73820 02640,53.519773,-2.3963210
WAF,Wallyford Rail Station,336700,672380,1,NT 36700 72380,55.940283,-3.0149503
WAM,Walmer Rail Station,636410,150340,3,TR 36410 50340,51.203321,1.3828744
WLT,Wallington Rail Station,528843,163991,1,TQ 28843 63991,51.360385,-0.15083295
WSL,Walsall Rail Station,401130,298510,3,SP 01130 98510,52.584397,-1.9847549
WAO,Walton (Merseyside) Rail Station,335970,395930,1,SJ 35970 95930,53.456214,-2.9657470
WAN,Wanborough Rail Station,493100,150326,1,SU 93100 50326,51.244522,-0.66758777
WSW,Wandsworth Common Rail Station,527730,173510,1,TQ 27730 73510,51.446183,-0.16338599
WPE,Wapping Rail Station,535025,180175,0,TQ 35025 80175,51.504386,-0.055930895
WAR,Ware Rail Station,535998,213984,2,TL 35998 13984,51.807959,-0.028781383
WGV,Wargrave Rail Station,478085,178289,1,SU 78085 78289,51.498157,-0.87651669
WRM,Wareham Rail Station,391956,88144,3,SY 91956 88144,50.692887,-2.1152465
WNH,Warnham Rail Station,517083,133948,1,TQ 17083 33948,51.092900,-0.32946416
WRW,Warwick Rail Station,428620,265460,1,SP 28620 65460,52.286538,-1.5818545
WRP,Warwick Parkway Rail Station,426560,265400,1,SP 26560 65400,52.286102,-1.6120579
WBC,Waterbeach Rail Station,550020,264955,2,TL 50020 64955,52.262304,0.19679051
WFH,Watford High Street Rail Station,511359,196098,1,TQ 11359 96098,51.652653,-0.39171117
WFJ,Watford Junction Rail Station,511040,197343,2,TQ 11040 97343,51.663906,-0.39592530
WFN,Watford North Rail Station,511426,198664,1,TQ 11426 98664,51.675702,-0.38992580
WFJ,Watford Junction Rail Station,511000,197300,2,TQ 11000 97300,51.663527,-0.39651704
WTG,Watlington Rail Station,561240,311050,1,TF 61240 11050,52.673170,0.38331608
WAS,Watton-at-Stone Rail Station,529610,219210,2,TL 29610 19210,51.856436,-0.11942749
WAT,London Waterloo Rail Station,531060,179950,2,TQ 31060 79950,51.503297,-0.11310894
