CrsCode,StationName,Easting,Northing,RevisionNumber,Grid Reference,Latitude,Longitude
PLU,Plumstead Rail Station,544800,178820,1,TQ4480078820,51.489793,0.08425644
PLK,Plockton Rail Station,179450,832950,1,NG7945032950,57.333563,-5.6659987
PLS,Pleasington Rail Station,364200,426200,1,SD6420026200,53.730957,-2.5441236
PLN,Portlethen Rail Station,392420,796710,1,NO9242096710,57.061375,-2.1266113
PFY,Poulton-le-Fylde Rail Station,334926,439587,2,SD3492639587,53.848424,-2.9906244
PLC,Pluckley Rail Station,592221,143279,1,TQ9222143279,51.156471,0.74739587
PLM,Plumley Rail Station,372112,375381,1,SJ7211275381,53.274673,-2.4196617
PLY,Plymouth Rail Station,247700,55300,1,SX4770055300,50.377826,-4.1433204
PBY,Pembrey & Burry Port Rail Station,244700,200700,3,SN4470000700,51.683526,-4.2478411
PNA,Penally Rail Station,211820,199080,1,SS1182099080,51.658918,-4.722055
PON,Ponders End Rail Station,536060,195545,2,TQ3606095545,51.642254,-0.035080465
PNE,Penge East Rail Station,535395,170720,2,TQ3539570720,51.419332,-0.054220533
PKG,Penkridge Rail Station,392040,313990,3,SJ9204013990,52.723498,-2.1192936
PMW,Penmaenmawr Rail Station,271821,376557,1,SH7182176557,53.270464,-3.9235108
PER,Penrhiwceiber Rail Station,306050,197670,1,ST0605097670,51.669921,-3.3599436
PHR,Penshurst Rail Station,551957,146480,1,TQ5195746480,51.197336,0.17347218
PTD,Pontarddulais Rail Station,258790,204080,1,SN5879004080,51.717619,-4.0455433
PNR,Penrith North Lakes Rail Station,351145,529900,4,NY5114529900,54.661804,-2.7588807
PLT,Pontlottyn Rail Station,311800,206100,1,SO1180006100,51.74663,-3.2789558
PTB,Pentre-Bach Rail Station,306000,203800,1,SO0600003800,51.725012,-3.3623205
PTF,Pantyffynnon Rail Station,262300,210800,1,SN6230010800,51.778876,-3.9974294
PNF,Penyffordd Rail Station,329540,361180,1,SJ2954061180,53.143087,-3.0548382
PYP,Pont-y-Pant Rail Station,275280,353610,1,SH7528053610,53.06513,-3.8627205
POK,Pokesdown Rail Station,412440,92400,1,SZ1244092400,50.731086,-1.8251021
PLG,Polegate Rail Station,558238,104813,4,TQ5823804813,50.821244,0.24514004
PMT,Polmont Rail Station,293100,678190,1,NS9310078190,55.984736,-3.7149729
POL,Polsloe Bridge Rail Station,294097,93483,2,SX9409793483,50.731279,-3.5019471
